Ace	Át
Act	Hành động
Add	Thêm
Age	Tuổi
Aid	Sự giúp đỡ
Air	Không khí
All	Tất cả
And	Và
Ant	Kiến
Any	Bất kỳ
Arm	Cánh tay
Art	Nghệ thuật
Ask	Hỏi
Bad	Xấu
Bag	Túi
Bar	Thanh
Bat	Gậy đập
Bay	Vịnh
Bed	Giường
Bee	Ong
Big	Lớn
Bit	Mảnh nhỏ
Boa	Con trăn
Bow	Cái cung
Box	Hộp
Boy	Cậu bé
Bus	Xe buýt
Buy	Mua
Cab	Xe taxi
Can	Có thể
Cap	Nắp
Car	Xe hơi
Cat	Mèo
Cow	Bò
Cry	Khóc
Cub	Linh dương con
Cut	Cắt
Day	Ngày
Dog	Chó
Dot	Chấm
Dry	Khô
Ear	Tai
Eat	Ăn
Egg	Trứng
End	Kết thúc
Eye	Mắt
Far	Xa
Fat	Mập
Few	Một ít
Fix	Sửa chữa
Fly	Bay
For	Cho
Fun	Vui vẻ
Get	Nhận
God	Thần
Gun	Súng
Hat	Mũ
Hen	Gà mái
Hit	Đánh
Hot	Nóng
Ice	Đá
Ink	Mực
Jam	Mứt
Jet	Máy bay phản lực
Job	Công việc
Joy	Niềm vui
Key	Khóa
Lab	Phòng thí nghiệm
Leg	Chân
Lid	Nắp đậy
Log	Khúc gỗ
Lot	Lô
Low	Thấp
Man	Người đàn ông
Map	Bản đồ
Mix	Kết hợp
Mob	Bọn đám đông
Mud	Bùn
Nap	Giấc ngủ ngắn
Net	Lưới
New	Mới
Oak	Cây sồi
Oil	Dầu
Old	Cũ
One	Một
Orb	Hành tinh
Pan	Chảo
Pen	Bút
Pet	Vật nuôi
Pig	Lợn
Pin	Cái đinh
Pod	Vỏ hạt
Pop	Nổ
Pot	Nồi
Pub	Quán rượu
Rat	Chuột
Red	Đỏ
Rib	Xương sườn
Rid	Loại bỏ
Rug	Chiếu
Run	Chạy
Sad	Buồn
Sea	Biển
See	Nhìn thấy
Set	Đặt
Sew	Khâu
Sky	Bầu trời
Sun	Mặt trời
Tag	Thẻ
Tax	Thuế
Ten	Mười
Tie	Dây nịt
Top	Đỉnh
Toy	Đồ chơi
Try	Thử
Use	Sử dụng
Van	Xe van
War	Chiến tranh
Wet	Ướt
Win	Thắng
Yes	Có
Zoo	Vườn thú

